,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,Fair Value
352,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,"Class A-1 common units (90,500 units)",0,11/30/2018,9.1,30.0
353,"Kellermeyer Bergensons Services, LLC",Provider of janitorial and facilities management services,First lien senior secured loan ($0.1 par due 11/2026),7.00% (LIBOR + 6.00%/S),7/2/2021,0.1,0.1
354,"Kellermeyer Bergensons Services, LLC",Provider of janitorial and facilities management services,First lien senior secured loan ($44.8 par due 11/2026),7.00% (LIBOR + 6.00%/Q),11/7/2019,44.8,44.8
355,"Kellermeyer Bergensons Services, LLC",Provider of janitorial and facilities management services,First lien senior secured loan ($0.8 par due 11/2026),6.75% (LIBOR + 5.75%/Q),11/7/2019,0.8,0.8
356,"Kellermeyer Bergensons Services, LLC",Provider of janitorial and facilities management services,First lien senior secured loan ($29.6 par due 11/2026),7.00% (LIBOR + 6.00%/Q),11/7/2019,29.4,29.6
357,"Kellermeyer Bergensons Services, LLC",Provider of janitorial and facilities management services,First lien senior secured loan ($6.5 par due 11/2026),6.75% (LIBOR + 5.75%/Q),11/7/2019,6.5,6.5
358,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,First lien senior secured loan ($12.6 par due 04/2024),7.00% (LIBOR + 6.00%/M),4/5/2017,12.6,12.3
359,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,First lien senior secured loan ($3.4 par due 04/2024),7.00% (LIBOR + 6.00%/M),11/16/2018,3.4,3.3
360,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,"Class A units (13,292 units)",0,9/21/2018,1.1,1.3
361,Laboratories Bidco LLC and Laboratories Topco LLC (16),Lab testing services for nicotine containing products,First lien senior secured revolving loan ($1.6 par due 07/2027),8.25% (Base Rate + 4.75%/Q),7/23/2021,1.6,1.6
362,Laboratories Bidco LLC and Laboratories Topco LLC (16),Lab testing services for nicotine containing products,First lien senior secured loan ($42.6 par due 07/2027),6.75% (LIBOR + 5.75%/Q),10/4/2019,41.0,42.6
363,Laboratories Bidco LLC and Laboratories Topco LLC (16),Lab testing services for nicotine containing products,First lien senior secured loan ($1.1 par due 07/2027),6.75% (LIBOR + 5.75%/Q),7/23/2021,1.1,1.1
364,Laboratories Bidco LLC and Laboratories Topco LLC (16),Lab testing services for nicotine containing products,First lien senior secured loan ($0.1 par due 07/2027),6.75% (LIBOR + 5.75%/Q),10/30/2020,0.1,0.1
365,Laboratories Bidco LLC and Laboratories Topco LLC (16),Lab testing services for nicotine containing products,"Class A units (3,099,335 units)",0,7/23/2021,4.6,4.4
366,"Lakers Buyer, Inc. and Lakers Parent LLC (16)",Provider of fire safety and life safety services,First lien senior secured revolving loan ($5.6 par due 03/2027),6.75% (LIBOR + 5.75%/Q),3/22/2021,5.6,5.5
367,"Lakers Buyer, Inc. and Lakers Parent LLC (16)",Provider of fire safety and life safety services,First lien senior secured loan ($27.1 par due 03/2027),6.76% (LIBOR + 5.75%/Q),3/22/2021,27.1,26.8
368,"Lakers Buyer, Inc. and Lakers Parent LLC (16)",Provider of fire safety and life safety services,Second lien senior secured loan ($41.3 par due 09/2027),11.76% PIK (LIBOR + 10.75%/Q),3/22/2021,41.3,40.5
369,"Lakers Buyer, Inc. and Lakers Parent LLC (16)",Provider of fire safety and life safety services,"Common units (46,990 units)",0,3/22/2021,4.7,5.3
370,"Marmic Purchaser, LLC and Marmic Topco, L.P. (16)",Provider of recurring fire protection services,First lien senior secured loan ($28.4 par due 03/2027),7.00% (LIBOR + 6.00%/Q),3/5/2021,28.4,28.4
371,"Marmic Purchaser, LLC and Marmic Topco, L.P. (16)",Provider of recurring fire protection services,"Limited partnership units (1,929,237 units)",8.00% PIK,3/5/2021,2.1,2.6
372,"Microstar Logistics LLC, Microstar Global Asset Management LLC, MStar Holding Corporation and Kegstar USA Inc.",Keg management solutions provider,Second lien senior secured loan ($153.5 par due 07/2023),10.00% PIK (LIBOR + 9.00%/Q),8/13/2020,153.5,150.4
373,"Microstar Logistics LLC, Microstar Global Asset Management LLC, MStar Holding Corporation and Kegstar USA Inc.",Keg management solutions provider,"Series A preferred stock (1,507 shares)",0,8/13/2020,1.5,2.3
374,"Microstar Logistics LLC, Microstar Global Asset Management LLC, MStar Holding Corporation and Kegstar USA Inc.",Keg management solutions provider,"Common stock (54,710 shares)",0,12/14/2012,4.9,4.9
375,"NAS, LLC and Nationwide Marketing Group, LLC (16)","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",First lien senior secured revolving loan ($0.6 par due 06/2024),9.00% (Base Rate + 5.50%/Q),11/3/2020,0.6,0.6
376,"NAS, LLC and Nationwide Marketing Group, LLC (16)","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",First lien senior secured loan ($2.3 par due 06/2024),7.50% (LIBOR + 6.50%/Q),12/17/2021,2.3,2.3
377,"NAS, LLC and Nationwide Marketing Group, LLC (16)","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",First lien senior secured loan ($6.3 par due 06/2024),7.50% (LIBOR + 6.50%/Q),11/3/2020,6.3,6.3
378,"Nest Topco Borrower Inc., KKR Nest Co-Invest L.P., and NBLY 2021-1 (16)",Operator of multiple franchise concepts primarily related to home maintenance or repairs,Senior subordinated loan ($119.1 par due 08/2029),9.00% (LIBOR + 8.50%/Q),9/1/2021,119.1,119.1
379,"Nest Topco Borrower Inc., KKR Nest Co-Invest L.P., and NBLY 2021-1 (16)",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Limited partner interest (9,725,000 interests)",0,9/28/2021,9.7,10.0
380,"NM GRC Holdco, LLC",Regulatory compliance services provider to financial institutions,First lien senior secured loan ($36.0 par due 02/2024),"8.50% (LIBOR + 6.00% Cash, 1.50% PIK/M)",2/9/2018,36.0,36.0
381,"NM GRC Holdco, LLC",Regulatory compliance services provider to financial institutions,First lien senior secured loan ($9.6 par due 02/2024),"8.50% (LIBOR + 6.00% Cash, 1.50% PIK/M)",2/9/2018,9.6,9.6
382,"North American Fire Holdings, LLC and North American Fire Ultimate Holdings, LLC (16)",Provider of fire safety and life safety services,First lien senior secured loan ($20.0 par due 05/2027),6.75% (SOFR + 6.00%/Q),5/19/2021,20.0,20.0
383,"North American Fire Holdings, LLC and North American Fire Ultimate Holdings, LLC (16)",Provider of fire safety and life safety services,First lien senior secured loan ($18.9 par due 05/2027),6.75% (SOFR + 6.00%/Q),5/19/2021,18.9,18.9
384,"North American Fire Holdings, LLC and North American Fire Ultimate Holdings, LLC (16)",Provider of fire safety and life safety services,"Common units (884,916 units)",0,5/19/2021,0.9,2.3
385,"North Haven Stack Buyer, LLC (16)",Provider of environmental testing services,First lien senior secured revolving loan ($0.2 par due 07/2027),6.50% (LIBOR + 5.50%/M),7/15/2021,0.2,0.2
386,"North Haven Stack Buyer, LLC (16)",Provider of environmental testing services,First lien senior secured loan ($11.6 par due 07/2027),6.50% (LIBOR + 5.50%/Q),7/15/2021,11.3,11.6
387,Petroleum Service Group LLC (16),Provider of operational services for US petrochemical and refining companies,First lien senior secured revolving loan ($4.9 par due 07/2025),7.00% (LIBOR + 6.00%/Q),7/23/2019,4.9,4.9
388,Petroleum Service Group LLC (16),Provider of operational services for US petrochemical and refining companies,First lien senior secured loan ($34.1 par due 07/2025),7.00% (LIBOR + 6.00%/Q),7/23/2019,34.1,34.1
389,Petroleum Service Group LLC (16),Provider of operational services for US petrochemical and refining companies,First lien senior secured loan ($11.2 par due 07/2025),7.00% (LIBOR + 6.00%/Q),12/3/2021,11.2,11.2
390,Petroleum Service Group LLC (16),Provider of operational services for US petrochemical and refining companies,First lien senior secured loan ($0.7 par due 07/2025),7.00% (LIBOR + 6.00%/Q),7/23/2019,0.7,0.7
391,"Pritchard Industries, LLC and LJ Pritchard TopCo Holdings, LLC (16)",Provider of janitorial and facilities management services,First lien senior secured loan ($84.4 par due 10/2027),6.25% (LIBOR + 5.50%/Q),10/13/2021,84.4,83.6
392,"Pritchard Industries, LLC and LJ Pritchard TopCo Holdings, LLC (16)",Provider of janitorial and facilities management services,"Class A units (7,900,000 units)",0,10/13/2021,7.9,9.5
393,PS Operating Company LLC and PS Op Holdings LLC (5)(16),Specialty distributor and solutions provider to the swine and poultry markets,First lien senior secured revolving loan ($2.8 par due 12/2024),7.01% (LIBOR + 6.00%/Q),12/21/2021,2.8,2.8
394,PS Operating Company LLC and PS Op Holdings LLC (5)(16),Specialty distributor and solutions provider to the swine and poultry markets,First lien senior secured loan ($14.9 par due 12/2024),7.01% (LIBOR + 6.00%/Q),12/21/2021,14.9,14.9
395,PS Operating Company LLC and PS Op Holdings LLC (5)(16),Specialty distributor and solutions provider to the swine and poultry markets,"Common unit (279,199 units)",0,12/21/2021,7.4,8.2
396,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",0,5/29/2007,0.2,0.3
397,RC V Tecmo Investor LLC,Technology based aggregator for facility maintenance services,"Common member units (9,624,000 units)",0,8/14/2020,8.3,20.0
398,"RE Community Holdings GP, LLC and RE Community Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (2.86% interest),0,3/1/2011,0.0,0.0
399,"RE Community Holdings GP, LLC and RE Community Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (2.49% interest),0,3/1/2011,0.0,0.0
400,"Registrar Intermediate, LLC and PSP Registrar Co-Investment Fund, L.P. (16)",Provider of FDA registration and consulting services,First lien senior secured loan ($37.8 par due 08/2027),6.00% (LIBOR + 5.00%/Q),8/26/2021,37.8,37.8
401,"Registrar Intermediate, LLC and PSP Registrar Co-Investment Fund, L.P. (16)",Provider of FDA registration and consulting services,Limited partner interests (1.13% interest),0,8/26/2021,2.7,2.8
402,Rodeo AcquisitionCo LLC (16),Provider of food inspection and recovery services,First lien senior secured revolving loan ($0.5 par due 07/2027),7.00% (LIBOR + 6.00%/Q),7/26/2021,0.5,0.5
403,Rodeo AcquisitionCo LLC (16),Provider of food inspection and recovery services,First lien senior secured revolving loan ($0.1 par due 07/2027),8.25% (Base Rate + 5.00%/Q),7/26/2021,0.1,0.1
404,Rodeo AcquisitionCo LLC (16),Provider of food inspection and recovery services,First lien senior secured loan ($17.1 par due 07/2027),7.01% (LIBOR + 6.00%/Q),7/26/2021,17.1,16.9
405,"Schill Landscaping and Lawn Care Services, LLC and Landscape Parallel Partners, LP (16)","Provider of landscape design and planning, and snow removal services",First lien senior secured loan ($5.8 par due 12/2027),6.75% (LIBOR + 5.75%/M),12/16/2021,5.8,5.8
406,"Schill Landscaping and Lawn Care Services, LLC and Landscape Parallel Partners, LP (16)","Provider of landscape design and planning, and snow removal services","Class A units (3,840.5 units)",0,12/16/2021,9.5,9.5
407,"SSE Buyer, Inc., Supply Source Enterprises, Inc., Impact Products LLC, The Safety Zone, LLC and SSE Parent, LP","Manufacturer and distributor of personal protection equipment, commercial cleaning, maintenance and safety products",First lien senior secured loan ($21.2 par due 06/2026),10.22% (LIBOR + 9.22%/Q),6/30/2020,21.2,19.3
408,"SSE Buyer, Inc., Supply Source Enterprises, Inc., Impact Products LLC, The Safety Zone, LLC and SSE Parent, LP","Manufacturer and distributor of personal protection equipment, commercial cleaning, maintenance and safety products","Limited partnership class A-1 units (2,173 units)",0,6/30/2020,1.1,0.6
409,"SSE Buyer, Inc., Supply Source Enterprises, Inc., Impact Products LLC, The Safety Zone, LLC and SSE Parent, LP","Manufacturer and distributor of personal protection equipment, commercial cleaning, maintenance and safety products","Limited partnership class A-2 units (2,173 units)",0,6/30/2020,1.1,0.6
410,"Startec Equity, LLC (5)",Communication services,Member interest,0,4/1/2010,0.0,0.0
411,Stealth Holding LLC and UCIT Online Security Inc. (16),Live video monitoring solutions provider,First lien senior secured loan ($0.5 par due 03/2026),7.75% (SOFR + 6.75%/Q),3/14/2022,0.5,0.5
412,Stealth Holding LLC and UCIT Online Security Inc. (16),Live video monitoring solutions provider,First lien senior secured loan ($26.2 par due 03/2026),7.75% (SOFR + 6.75%/Q),3/1/2021,26.2,26.2
413,Stealth Holding LLC and UCIT Online Security Inc. (16),Live video monitoring solutions provider,First lien senior secured loan ($27.1 par due 03/2026),7.75% (SOFR + 6.75%/Q),3/1/2021,27.1,27.1
414,Stealth Holding LLC and UCIT Online Security Inc. (16),Live video monitoring solutions provider,First lien senior secured loan ($0.8 par due 03/2026),9.00% (Base Rate + 5.75%/Q),3/1/2021,0.8,0.8
415,"Thermostat Purchaser III, Inc. (16)",Provider of commercial HVAC equipment maintenance and repair services,Second lien senior secured loan ($23.0 par due 08/2029),8.00% (LIBOR + 7.25%/Q),8/31/2021,23.0,22.8
416,Tyden Group Holding Corp.,"Producer and marketer of global cargo security, product identification and traceability products and utility meter products","Preferred stock (46,276 shares)",0,1/3/2017,0.4,0.4
417,Tyden Group Holding Corp.,"Producer and marketer of global cargo security, product identification and traceability products and utility meter products","Common stock (5,521,203 shares)",0,1/3/2017,2.0,3.8
418,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,First lien senior secured loan ($32.5 par due 08/2022),"8.50% (LIBOR + 5.75% Cash, 1.25% PIK/Q)",8/31/2017,32.5,30.9
419,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,Senior subordinated loan ($92.1 par due 09/2024),6.25% PIK,8/31/2017,87.5,81.1
420,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,"Warrant to purchase up to 10,358,572 shares of common stock (expires 8/2027)",0,8/31/2017,3.9,0.0
421,"VLS Environmental Solutions, LLC (16)",Provider of commercial and industrial waste processing and disposal services,First lien senior secured revolving loan ($1.3 par due 10/2024),6.50% (LIBOR + 5.50%/M),10/17/2017,1.3,1.3
422,"VLS Environmental Solutions, LLC (16)",Provider of commercial and industrial waste processing and disposal services,First lien senior secured loan ($5.2 par due 10/2024),6.50% (LIBOR + 5.50%/Q),8/31/2021,5.2,5.2
423,"VLS Environmental Solutions, LLC (16)",Provider of commercial and industrial waste processing and disposal services,First lien senior secured loan ($5.8 par due 10/2024),6.50% (LIBOR + 5.50%/Q),7/1/2019,5.8,5.8
424,"Wash Encore Holdings, LLC",Provider of outsourced healthcare linen management solutions,First lien senior secured loan ($99.2 par due 07/2027),6.75% (LIBOR + 5.75%/Q),7/30/2021,99.2,99.2
425,"Wash Encore Holdings, LLC",Provider of outsourced healthcare linen management solutions,First lien senior secured loan ($36.2 par due 07/2027),6.75% (LIBOR + 5.75%/Q),7/30/2021,36.2,36.2
426,"XIFIN, Inc. and ACP Charger Co-Invest LLC (16)",Revenue cycle management provider to labs,First lien senior secured loan ($16.3 par due 02/2026),6.76% (LIBOR + 5.75%/Q),7/20/2021,16.3,16.3
427,"XIFIN, Inc. and ACP Charger Co-Invest LLC (16)",Revenue cycle management provider to labs,First lien senior secured loan ($39.2 par due 02/2026),6.76% (LIBOR + 5.75%/Q),12/8/2021,39.2,39.2
428,"XIFIN, Inc. and ACP Charger Co-Invest LLC (16)",Revenue cycle management provider to labs,"Class A units (180,000 units)",0,2/6/2020,1.8,5.2
