,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,,Fair Value,,Percentage of Net Assets,,,
1163,"Repairify, Inc. and Repairify Holdings, LLC (16)",Provider of automotive diagnostics scans and solutions,"Class A common units (163,820 units)",,6/14/2021,4.9,,,4.9,,(2),,
1164,"Wildcat BuyerCo, Inc. and Wildcat Parent, LP (16)",Provider and supplier of electrical components for commercial and industrial applications,First lien senior secured loan ($0.8 par due 02/2026),6.76% (LIBOR + 5.75%/Q),11/18/2021,0.8,,,0.8,,(2)(12),,
1165,,,First lien senior secured loan ($18.1 par due 02/2026),6.76% (LIBOR + 5.75%/Q),2/27/2020,18.1,,,18.1,,(12),,
1166,,,"Limited partnership interests (17,655 interests)",,2/27/2020,1.8,,,3.4,,(2),,
1168,,,,,,231.9,,,231.2,,,2.47%,
1170,"Commercial Trailer Leasing, Inc. (16)",Trailer leasing company,First lien senior secured loan ($64.6 par due 01/2026),7.25% (LIBOR + 6.25%/Q),1/19/2021,64.6,,,64.6,,(12),,
1171,,,First lien senior secured loan ($10.4 par due 01/2026),7.25% (LIBOR + 6.25%/Q),1/19/2021,10.4,,,10.4,,(2)(12),,
1172,,,Second lien senior secured loan ($19.9 par due 01/2027),13.00%,1/19/2021,19.9,,,19.9,,(2),,
1174,"Shur-Co Acquisition, Inc. and Shur-Co Holdco, Inc. (16)","Provider of tarp systems and accessories for trucks, trailers, carts, and specialty equipment used in the agriculture, construction and flatbed markets",First lien senior secured revolving loan ($2.3 par due 06/2027),7.00% (LIBOR + 6.00%/Q),6/30/2021,2.3,,,2.3,,(2)(12),,
1175,,,First lien senior secured loan ($27.0 par due 06/2027),7.00% (LIBOR + 6.00%/Q),6/30/2021,27.0,,,27.0,,(12),,
1176,,,"Common stock (7,599,000 shares)",,6/30/2021,7.6,,,9.2,,(2),,
1178,,,,,,131.8,,,133.4,,,1.42%,
1180,Excelligence Holdings Corp.,"Developer, manufacturer and retailer of educational products",First lien senior secured loan ($9.6 par due 04/2023),"7.01% (LIBOR + 1.50% Cash, 4.50% PIK/Q)",4/17/2017,9.6,,,9.3,,(2)(12),,
1181,"Flinn Scientific, Inc. and WCI-Quantum Holdings, Inc. (16)","Distributor of instructional products, services and resources",First lien senior secured revolving loan ($6.9 par due 08/2024),6.25% (LIBOR + 5.50%/Q),8/31/2018,6.9,,,6.9,,(2)(12),,
1182,,,First lien senior secured loan ($29.9 par due 08/2024),6.25% (LIBOR + 5.50%/Q),7/26/2017,29.9,,,29.9,,(12),,
1183,,,First lien senior secured loan ($1.1 par due 08/2024),6.25% (LIBOR + 5.50%/Q),8/31/2018,1.1,,,1.1,,(12),,
1184,,,"Series A preferred stock (1,272 shares)",,10/24/2014,0.7,,,1.1,,(2),,
1186,"National College of Business and Technology Company, Inc. & Leeds IV Advisors, Inc.",Private school operator,First lien senior secured loan ($4.0 par due 10/2024),10.50% (LIBOR + 9.00%/Q),3/12/2020,4.0,,,4.0,,(2)(12),,
1187,,,"Senior preferred series A-1 shares (151,056 shares)",,10/31/2015,98.1,,,36.5,,(2),,
1188,,,"Series B preferred stock (348,615 shares)",,8/5/2010,1.0,,,0,,,,
1189,,,"Series B preferred stock (1,401,385 shares)",,8/5/2010,4.0,,,0,,,,
1190,,,"Series C preferred stock (517,942 shares)",,6/7/2010,0.1,,,0,,,,
1191,,,"Series C preferred stock (1,994,644 shares)",,6/7/2010,0.5,,,0,,,,
1192,,,Common stock (16 shares),,6/7/2010,0,,,0,,,,
1193,,,Common stock (4 shares),,6/7/2010,0,,,0,,,,
1196,Primrose Holding Corporation (4),Franchisor of education-based early childhood centers,"Common stock (7,227 shares)",,1/3/2017,4.6,,,27.0,,,,
1197,,,,,,160.5,,,115.8,,,1.23%,
1199,CDI Holdings III Corp. and CDI Holdings I Corp. (16),Provider of personal care appliances,First lien senior secured loan ($3.8 par due 12/2027),6.75% (LIBOR + 5.75%/Q),12/22/2021,3.8,,,3.8,,(2)(12),,
1200,,,"Common stock (6,149 shares)",,12/22/2021,6.1,,,6.1,,(2),,
1202,"Foundation Consumer Brands, LLC",Pharmaceutical holding company of over the counter brands,First lien senior secured loan ($24.9 par due 10/2026),6.50% (LIBOR + 5.50%/Q),2/12/2021,24.4,,,24.9,,(12),,
1203,"Premier Specialties, Inc. and RMCF V CIV XLIV, L.P. (16)",Manufacturer and supplier of natural fragrance materials and cosmeceuticals,First lien senior secured revolving loan ($0.3 par due 08/2027),6.75% (LIBOR + 5.75%/M),8/20/2021,0.3,,,0.3,,(2)(12),,
1204,,,First lien senior secured loan ($27.5 par due 08/2027),6.75% (LIBOR + 5.75%/M),8/20/2021,27.5,,,26.6,,(2)(12),,
1205,,,Limited partner interests (4.58% interest),,8/20/2021,4.7,,,3.2,,(2),,
1207,"Rug Doctor, LLC and RD Holdco Inc. (5)",Manufacturer and marketer of carpet cleaning machines,Second lien senior secured loan ($22.6 par due 05/2023),,1/3/2017,22.0,,,16.9,,(2)(11),,
1208,,,"Common stock (458,596 shares)",,1/3/2017,14.0,,,0,,,,
1209,,,"Warrant to purchase up to 56,372 shares of common stock (expires 12/2023)",,1/3/2017,0,,,0,,,,
1211,"Walnut Parent, Inc.",Manufacturer of natural solution pest and animal control products,First lien senior secured loan ($14.7 par due 11/2027),6.50% (LIBOR + 5.50%/Q),11/9/2020,14.7,,,14.7,,(12),,
1212,,,,,,117.5,,,96.5,,,1.03%,
1214,"Emergency Communications Network, LLC (16)",Provider of mission critical emergency mass notification solutions,First lien senior secured revolving loan ($6.5 par due 06/2022),"8.75% (LIBOR + 2.63% Cash, 5.13% PIK/Q)",6/1/2017,6.5,,,5.8,,(2)(12),,
1215,,,First lien senior secured loan ($46.5 par due 06/2023),"8.75% (LIBOR + 2.63% Cash, 5.13% PIK/Q)",6/1/2017,46.5,,,41.4,,(2)(12),,
1217,,,,,,53.0,,,47.2,,,0.50%,
1218,Grand Total,,,,,19307.5,,,19485.5,,,207.76%,
