998,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,61,,,60,,,0,,60,,,,,,,
999,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,60,,,59,,,0,,59,,,,,,,
1000,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,56,,,55,,,0,,56,,,,,,,
1001,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,55,,,55,,,0,,55,,,,,,,
1002,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,43,,,42,,,0,,42,,,,,,,
1003,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,41,,,41,,,0,,41,,,,,,,
1004,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,36,,,35,,,0,,35,,,,,,,
1005,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,35,,,35,,,0,,35,,,,,,,
1006,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,35,,,35,,,0,,35,,,,,,,
1007,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,28,,,28,,,0,,28,,,,,,,
1008,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,28,,,27,,,0,,28,,,,,,,
1009,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,27,,,27,,,0,,27,,,,,,,
1010,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,27,,,26,,,0,,26,,,,,,,
1011,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,26,,,25,,,0,,25,,,,,,,
1012,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,26,,,26,,,0,,26,,,,,,,
1013,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,24,,,24,,,0,,23,,,,,,,
1014,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,23,,,23,,,0,,23,,,,,,,
1015,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,21,,,21,,,0,,21,,,,,,,
1016,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,20,,,19,,,0,,19,,,,,,,
1017,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,19,,,19,,,0,,18,,,,,,,
1018,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,19,,,19,,,0,,19,,,,,,,
1020,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1021,,Specialty Retail -. (continued),,,,,,,,,,,,,,,,,,,,,,,,,
1022,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,,19,,,,19,,,0,%,,19,,,,
1023,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,17,,,17,,,0,,17,,,,,,,
1024,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,17,,,17,,,0,,17,,,,,,,
1025,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,14,,,13,,,0,,13,,,,,,,
1026,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,13,,,13,,,0,,13,,,,,,,
1027,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,13,,,13,,,0,,13,,,,,,,
1028,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,13,,,13,,,0,,13,,,,,,,
1029,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,13,,,13,,,0,,13,,,,,,,
1030,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,13,,,13,,,0,,13,,,,,,,
1031,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,12,,,12,,,0,,12,,,,,,,
1032,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,11,,,11,,,0,,11,,,,,,,
1033,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,11,,,11,,,0,,11,,,,,,,
1034,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,10,,,10,,,0,,10,,,,,,,
1035,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,10,,,10,,,0,,10,,,,,,,
1036,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,9,,,9,,,0,,9,,,,,,,
1037,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,9,,,9,,,0,,9,,,,,,,
1038,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,8,,,8,,,0,,8,,,,,,,
1039,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,7,,,7,,,0,,7,,,,,,,
1040,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,6,,,6,,,0,,6,,,,,,,
1041,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,5,,,5,,,0,,5,,,,,,,
1042,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,5,,,5,,,0,,5,,,,,,,
1043,,Imperial Optical Midco Inc.+,One stop,,L + 6.25%,(a),,7.25%,,08/2023,,3,,,3,,,0,,3,,,,,,,
1044,,Imperial Optical Midco Inc.+(5),One stop,,L + 6.25%,,,N/A(6),,08/2023,,0,,,0,,,0,,(1),,,,,,,
1045,,Imperial Optical Midco Inc.+(5),One stop,,L + 6.25%,,,N/A(6),,08/2023,,0,,,(20),,,0,,(17),,,,,,,
1046,,Jet Equipment & Tools Ltd.+~(8)(9)(12),One stop,,L + 5.25%,(l),,6.25%,,11/2024,,"17,851",,,"18,098",,,0.7,,"18,941",,,,,,,
1047,,Jet Equipment & Tools Ltd.*#(8)(12),One stop,,L + 5.25%,(a),,6.25%,,11/2024,,"12,269",,,"12,466",,,0.5,,"12,259",,,,,,,
1048,,Jet Equipment & Tools Ltd.+(8)(9)(12),One stop,,L + 5.50%,(l),,6.50%,,11/2024,,"5,220",,,"5,174",,,0.2,,"5,590",,,,,,,
1049,,Jet Equipment & Tools Ltd.#(8)(12)^,One stop,,L + 5.25%,(a),,6.25%,,11/2024,,"4,274",,,"4,332",,,0.2,,"4,270",,,,,,,
1050,,Jet Equipment & Tools Ltd.(8)(12)^,One stop,,L + 5.25%,(a),,6.25%,,11/2024,,"1,569",,,"1,559",,,0.1,,"1,568",,,,,,,
1051,,Jet Equipment & Tools Ltd.+(8)(12),One stop,,P + 4.25%,(a)(f),,7.08%,,11/2024,,60,,,60,,,0,,60,,,,,,,
1052,,Jet Equipment & Tools Ltd.+(8)(9)(12),One stop,,L + 5.25%,,,N/A(6),,11/2024,,0,,,0,,,0,,0,,,,,,,
1053,,"PetPeople Enterprises, LLC#",One stop,,L + 5.50%,(d),,6.50%,,09/2023,,"5,227",,,"5,263",,,0.2,,"5,227",,,,,,,
1054,,"PetPeople Enterprises, LLC#+",One stop,,L + 5.50%,(d),,6.50%,,09/2023,,"1,774",,,"1,796",,,0.1,,"1,774",,,,,,,
1055,,"PetPeople Enterprises, LLC+",One stop,,L + 5.50%,(c),,6.50%,,09/2023,,20,,,21,,,0,,20,,,,,,,
1056,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(a),,7.50%,,05/2023,,"4,883",,,"4,883",,,0.2,,"4,835",,,,,,,
1057,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(a),,7.50%,,05/2023,,"1,158",,,"1,146",,,0,,"1,146",,,,,,,
1058,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(a),,7.50%,,05/2023,,"1,068",,,"1,057",,,0,,"1,057",,,,,,,
1059,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(a),,7.50%,,05/2023,,"1,029",,,"1,019",,,0,,"1,019",,,,,,,
1060,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(a),,7.50%,,05/2023,,"1,002",,,"1,002",,,0,,992,,,,,,,
1061,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(a),,7.50%,,05/2023,,926,,,917,,,0,,917,,,,,,,
1062,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(c),,7.50%,,05/2023,,776,,,768,,,0,,768,,,,,,,
1063,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(a),,7.50%,,05/2023,,772,,,764,,,0,,764,,,,,,,
1064,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(a),,7.50%,,05/2023,,733,,,726,,,0,,726,,,,,,,
1065,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(a),,7.50%,,05/2023,,599,,,599,,,0,,593,,,,,,,
1066,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(a),,7.50%,,05/2023,,527,,,522,,,0,,522,,,,,,,
1067,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(a),,7.50%,,05/2023,,432,,,419,,,0,,427,,,,,,,
1068,,"PPV Intermediate Holdings II, LLC+",One stop,,L + 6.50%,(a),,7.50%,,05/2023,,128,,,127,,,0,,127,,,,,,,
1069,,"PPV Intermediate Holdings II, LLC+",One stop,,,,,7.90% PIK,,05/2023,,26,,,26,,,0,,26,,,,,,,
1071,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1072,,Specialty Retail -. (continued),,,,,,,,,,,,,,,,,,,,,,,,,
1073,,"PPV Intermediate Holdings II, LLC+(5)",One stop,,L + 6.50%,,,N/A(6),,05/2023,,,0,,,,0,,,0,%,,(2),,,,
1074,,"PPV Intermediate Holdings II, LLC+(5)",One stop,,L + 6.50%,,,N/A(6),,05/2023,,0,,,(26),,,0,,(25),,,,,,,
1075,,"Sola Franchise, LLC and Sola Salon Studios, LLC#",One stop,,L + 5.50%,(c),,6.50%,,10/2024,,"7,248",,,"7,259",,,0.3,,"7,248",,,,,,,
1076,,"Sola Franchise, LLC and Sola Salon Studios, LLC#+",One stop,,L + 5.50%,(c),,6.50%,,10/2024,,"1,695",,,"1,742",,,0.1,,"1,695",,,,,,,
1077,,"Sola Franchise, LLC and Sola Salon Studios, LLC+",One stop,,L + 5.50%,,,N/A(6),,10/2024,,0,,,0,,,0,,0,,,,,,,
1078,,"Titan Fitness, LLC*#+",One stop,,L + 6.75%,(b)(c),,5.75% cash/2.00% PIK,,02/2025,,"30,371",,,"30,647",,,1.1,,"27,324",,,,,,,
1079,,"Titan Fitness, LLC+",One stop,,L + 6.75%,(c),,5.75% cash/2.00% PIK,,02/2025,,"1,894",,,"1,877",,,0.1,,"1,704",,,,,,,
1080,,"Titan Fitness, LLC+",One stop,,L + 6.75%,(c),,5.75% cash/2.00% PIK,,02/2025,,478,,,475,,,0,,428,,,,,,,
1081,,Vermont Aus Pty Ltd+~(8)(9)(11),Senior loan,,L + 4.75%,(k),,4.83%,,02/2025,,"2,199",,,"2,215",,,0.1,,"2,408",,,,,,,
1082,,Vermont Aus Pty Ltd+(8)(9)(11),Senior loan,,L + 4.00%,(k),,4.08%,,02/2025,,"1,010",,,993,,,0,,955,,,,,,,
1083,,Vermont Aus Pty Ltd+(8)(9)(11),Senior loan,,L + 4.75%,(k),,4.83%,,02/2025,,81,,,81,,,0,,97,,,,,,,
1084,,,,,,,,,,,,"193,205",,,"194,015",,,6.9,,,"190,992",,,,,,
1087,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1088,,"Technology Hardware, Storage & Peripherals",,,,,,,,,,,,,,,,,,,,,,,,,
1089,,Agility Recovery Solutions Inc.*#^,One stop,,L + 6.00%,(c),,7.00%,,03/2023,,,"22,297",,,,"22,383",,,0.9,%,,"22,297",,,,
1090,,Agility Recovery Solutions Inc.+,One stop,,L + 6.00%,(c),,7.00%,,03/2023,,902,,,901,,,0,,902,,,,,,,
1091,,,,,,,,,,,,"23,199",,,"23,284",,,0.9,,"23,199",,,,,,,
1092,,"Textiles, Apparel & Luxury Goods",,,,,,,,,,,,,,,,,,,,,,,,,
1093,,"Dollfus Mieg Company, Inc.+(8)(10)",One stop,,L + 6.00%,(c),,6.50%,,03/2028,,"1,954",,,"1,927",,,0.1,,"1,927",,,,,,,
1094,,"Dollfus Mieg Company, Inc.+(8)(10)",One stop,,L + 6.00%,(c),,6.50%,,03/2028,,974,,,960,,,0,,960,,,,,,,
1095,,"Dollfus Mieg Company, Inc.+(8)(10)",One stop,,L + 6.00%,(c),,6.50%,,03/2028,,855,,,844,,,0,,844,,,,,,,
1096,,"Dollfus Mieg Company, Inc.(5)(8)(9)(10)",One stop,,L + 6.00%,,,N/A(6),,03/2028,,0,,,(1),,,0,,(1),,,,,,,
1097,,"Elite Sportswear, L.P.+",Senior loan,,L + 6.25%,(c),,7.25%,,12/2021,,"9,827",,,"9,773",,,0.3,,"6,388",,,,,,,
1098,,"Elite Sportswear, L.P.+",Senior loan,,L + 6.25%,(c),,7.25%,,12/2021,,"3,951",,,"3,930",,,0.1,,"2,568",,,,,,,
1099,,"Elite Sportswear, L.P.+",Senior loan,,L + 6.25%,(c),,7.25%,,12/2021,,"2,033",,,"2,022",,,0.1,,"1,321",,,,,,,
1100,,"Elite Sportswear, L.P.+",Senior loan,,L + 6.25%,(c),,7.25%,,12/2021,,"1,031",,,"1,024",,,0,,600,,,,,,,
1101,,"Elite Sportswear, L.P.*+",Senior loan,,L + 6.25%,(c),,7.25%,,12/2021,,674,,,671,,,0,,439,,,,,,,
1102,,"Elite Sportswear, L.P.+",Senior loan,,L + 6.25%,(c),,7.25%,,12/2021,,308,,,307,,,0,,201,,,,,,,
1103,,"Elite Sportswear, L.P.*+",Senior loan,,L + 6.25%,(c),,7.25%,,12/2021,,295,,,293,,,0,,191,,,,,,,
1104,,"Elite Sportswear, L.P.+",Senior loan,,L + 6.25%,(c),,7.25%,,12/2021,,36,,,36,,,0,,21,,,,,,,
1105,,"Georgica Pine Clothiers, LLC#+",One stop,,L + 5.50%,(c),,6.50%,,11/2023,,"10,320",,,"10,383",,,0.4,,"10,135",,,,,,,
1106,,"Georgica Pine Clothiers, LLC*#",One stop,,L + 5.50%,(c),,6.50%,,11/2023,,"6,472",,,"6,514",,,0.2,,"6,356",,,,,,,
1107,,"Georgica Pine Clothiers, LLC+",One stop,,L + 5.50%,(c)(d),,6.50%,,11/2023,,"1,001",,,996,,,0,,984,,,,,,,
1108,,"Georgica Pine Clothiers, LLC#+",One stop,,L + 5.50%,(c)(d),,6.50%,,11/2023,,900,,,908,,,0,,884,,,,,,,
1109,,"Georgica Pine Clothiers, LLC*#",One stop,,L + 5.50%,(c)(d),,6.50%,,11/2023,,632,,,637,,,0,,620,,,,,,,
1110,,"Georgica Pine Clothiers, LLC+",One stop,,L + 5.50%,(c)(d),,6.50%,,11/2023,,230,,,230,,,0,,226,,,,,,,
1111,,SHO Holding I Corporation+~,Senior loan,,L + 5.25%,(b),,6.25%,,04/2024,,"4,013",,,"4,002",,,0.1,,"3,732",,,,,,,
1112,,SHO Holding I Corporation+~,Senior loan,,L + 5.23%,(c),,6.23%,,04/2024,,67,,,67,,,0,,62,,,,,,,
1113,,SHO Holding I Corporation+,Senior loan,,L + 4.00%,(c),,5.00%,,04/2024,,16,,,15,,,0,,16,,,,,,,
1114,,SHO Holding I Corporation+(5),Senior loan,,L + 5.00%,,,N/A(6),,04/2024,,0,,,0,,,0,,(6),,,,,,,
1115,,SHO Holding I Corporation+,Senior loan,,L + 4.00%,(c),,5.00%,,04/2024,,0,,,0,,,0,,0,,,,,,,
1116,,SHO Holding I Corporation+,Senior loan,,L + 5.23%,(c),,6.23%,,04/2024,,0,,,0,,,0,,0,,,,,,,
1117,,,,,,,,,,,,"45,589",,,"45,538",,,1.3,,"38,468",,,,,,,
1118,,Trading Companies and Distributors,,,,,,,,,,,,,,,,,,,,,,,,,
1119,,Marcone Yellowstone Buyer Inc.+,One stop,,L + 5.50%,(c),,6.50%,,06/2028,,"19,360",,,"18,973",,,0.7,,"18,973",,,,,,,
1120,,Marcone Yellowstone Buyer Inc.+(5),One stop,,L + 5.50%,,,N/A(6),,06/2028,,0,,,(5),,,0,,(5),,,,,,,
1121,,,,,,,,,,,,"19,360",,,"18,968",,,0.7,,"18,968",,,,,,,
1122,,Water Utilities,,,,,,,,,,,,,,,,,,,,,,,,,
1123,,"S.J. Electro Systems, Inc.+",Senior loan,,L + 4.50%,(a),,5.50%,,06/2027,,"14,856",,,"14,708",,,0.6,,"14,707",,,,,,,
1124,,"S.J. Electro Systems, Inc.+(5)",Senior loan,,L + 4.50%,,,N/A(6),,06/2027,,0,,,(2),,,0,,(2),,,,,,,
1125,,"S.J. Electro Systems, Inc.+(5)",Senior loan,,L + 4.50%,,,N/A(6),,06/2027,,0,,,(2),,,0,,(2),,,,,,,
1126,,,,,,,,,,,,"14,856",,,"14,704",,,0.6,,"14,703",,,,,,,
1127,,Total non-controlled/non-affiliate company debt investments,,,,,,,,,,"4,292,039",,,,"4,273,282",,,166.8,%,,"4,228,263",,,,,
1129,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1130,,Equity Investments(15)(16),,,,,,,,,,,,,,,,,,,,,,,,,
1131,,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,
1132,,NTS Technical Systems+,Common Stock,,,,,,,,,2,,,,"1,506",,,0.1,%,,"1,277",,,,,
1133,,NTS Technical Systems+,Common Stock,,,,,,,,,0,,,256,,,0,,482,,,,,,,
1134,,NTS Technical Systems+,LLC units,,,,,,,,,0,,,128,,,0,,278,,,,,,,
1135,,Whitcraft LLC+,LLC units,,,,,,,,,11,,,"2,285",,,0.1,,"2,834",,,,,,,
1136,,,,,,,,,,,,,,"4,175",,,0.2,,"4,871",,,,,,,,
1137,,Auto Components,,,,,,,,,,,,,,,,,,,,,,,,,
1138,,Polk Acquisition Corp.+,LLC units,,,,,,,,,5,,,314,,,0,,264,,,,,,,
1140,,Automobiles,,,,,,,,,,,,,,,,,,,,,,,,,
1141,,"MOP GM Holding, LLC+",LP units,,,,,,,,,0,,,323,,,0.1,,493,,,,,,,
1142,,"Quick Quack Car Wash Holdings, LLC",Preferred stock,,,,,,,,,0,,,508,,,0.1,,558,,,,,,,
1143,,,,,,,,,,,,,,831,,,0.2,,"1,051",,,,,,,,
1144,,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,
1145,,"Abita Brewing Co., L.L.C.+",Common Stock,,,,,,,,,210,,,0,,,0,,207,,,,,,,
1147,,Biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,
1148,,"BIO18 Borrower, LLC+(17)",Preferred stock,,,,,,,,,591,,,"1,190",,,0.1,,"2,460",,,,,,,
1150,,Building Products,,,,,,,,,,,,,,,,,,,,,,,,,
1151,,"Brooks Equipment Company, LLC+",Preferred stock,,,,,,,,,10,,,"1,021",,,0.1,,"2,409",,,,,,,
1153,,Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
1154,,Inhance Technologies Holdings LLC+,LLC units,,,,,,,,,0,,,124,,,0,,97,,,,,,,
1156,,Commercial Services & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
1157,,Hydraulic Authority III Limited+(8)(9)(10),LLC units,,,,,,,,,284,,,384,,,0.1,,516,,,,,,,
1158,,Hydraulic Authority III Limited+(8)(9)(10),LLC units,,,,,,,,,6,,,43,,,0.1,,5,,,,,,,
1159,,,,,,,,,,,,,,427,,,0.2,,,521,,,,,,,
1160,,Construction & Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
1161,,"Reladyne, Inc.+",LP interest,,,,,,,,,0,,,931,,,0.1,,"1,182",,,,,,,
1163,,Diversified Consumer Services,,,,,,,,,,,,,,,,,,,,,,,,,
1164,,"CHHJ Franchising, LLC+",Common Stock,,,,,,,,,19,,,193,,,0,,202,,,,,,,
1165,,EWC Growth Partners LLC,LP interest,,,,,,,,,0,,,12,,,0,,1,,,,,,,
1166,,"Liminex, Inc.+",LP units,,,,,,,,,14,,,496,,,0,,597,,,,,,,
1167,,"PADI Holdco, Inc.+",LLC interest,,,,,,,,,1,,,969,,,0,,163,,,,,,,
1168,,"Spear Education, LLC+",Common Stock,,,,,,,,,0,,,7,,,0,,32,,,,,,,
1169,,"Spear Education, LLC+",LLC units,,,,,,,,,1,,,1,,,0,,42,,,,,,,
1170,,,,,,,,,,,,,,"1,678",,,0,,"1,037",,,,,,,,
1171,,"Electronic Equipment, Instruments & Components",,,,,,,,,,,,,,,,,,,,,,,,,
1172,,ES Acquisition LLC+,Preferred stock,,,,,,,,,0,,,15,,,0,,30,,,,,,,
1173,,"Inventus Power, Inc.+",Common Stock,,,,,,,,,0,,,372,,,0,,267,,,,,,,
1174,,"Inventus Power, Inc.+",LLC units,,,,,,,,,0,,,88,,,0,,160,,,,,,,
1175,,"Inventus Power, Inc.+",LP interest,,,,,,,,,0,,,20,,,0,,40,,,,,,,
1176,,"Inventus Power, Inc.+",Preferred stock,,,,,,,,,0,,,0,,,0,,0,,,,,,,
1177,,,,,,,,,,,,,,495,,,0,,497,,,,,,,,
1179,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1180,,Food & Staples Retailing,,,,,,,,,,,,,,,,,,,,,,,,,
1181,,"Benihana, Inc.+",LLC units,,,,,,,,,43,,,,699,,,0,%,,375,,,,,
1182,,"Cafe Rio Holding, Inc.+",LLC units,,,,,,,,,5,,,603,,,0,,978,,,,,,,
1183,,"Captain D's, LLC+",LLC interest,,,,,,,,,158,,,156,,,0,,766,,,,,,,
1184,,"Feeders Supply Company, LLC+",Common Stock,,,,,,,,,4,,,400,,,0,,439,,,,,,,
1185,,"Feeders Supply Company, LLC+",Preferred stock,,,,,,,,,0,,,0,,,0,,0,,,,,,,
1186,,"Hopdoddy Holdings, LLC+",LLC units,,,,,,,,,44,,,217,,,0,,135,,,,,,,
1187,,"Hopdoddy Holdings, LLC+",LLC units,,,,,,,,,20,,,61,,,0,,38,,,,,,,
1188,,"Mendocino Farms, LLC+",LLC interest,,,,,,,,,168,,,770,,,0.1,,"1,344",,,,,,,
1189,,"Ruby Slipper Cafe LLC, The+",LP interest,,,,,,,,,31,,,373,,,0,,75,,,,,,,
1190,,"Ruby Slipper Cafe LLC, The+",LP interest,,,,,,,,,2,,,20,,,0,,15,,,,,,,
1191,,"Wetzel's Pretzels, LLC+",Common Stock,,,,,,,,,0,,,416,,,0,,344,,,,,,,
1192,,Wood Fired Holding Corp.+,LLC units,,,,,,,,,437,,,444,,,0,,537,,,,,,,
1193,,Wood Fired Holding Corp.+,Preferred stock,,,,,,,,,437,,,0,,,0,,205,,,,,,,
1194,,Zenput Inc.+,Preferred stock,,,,,,,,,146,,,409,,,0,,409,,,,,,,
1195,,,,,,,,,,,,,,"4,568",,,0.1,,"5,660",,,,,,,,
1196,,Food Products,,,,,,,,,,,,,,,,,,,,,,,,,
1197,,"Borrower R365 Holdings, LLC+",Preferred stock,,,,,,,,,77,,,102,,,0.1,,102,,,,,,,
1198,,"C. J. Foods, Inc.+",Preferred stock,,,,,,,,,0,,,75,,,0.1,,636,,,,,,,
1199,,"FCID Merger Sub, Inc.+",LLC units,,,,,,,,,3,,,325,,,0,,330,,,,,,,
1200,,"Purfoods, LLC+",Preferred stock,,,,,,,,,0,,,926,,,0.2,,"6,017",,,,,,,
1201,,,,,,,,,,,,,,"1,428",,,0.4,,"7,085",,,,,,,,
1202,,Health Care Equipment & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
1203,,"Aspen Medical Products, LLC+",LP interest,,,,,,,,,0,,,77,,,0,,133,,,,,,,
1204,,"Blue River Pet Care, LLC+",Common Stock,,,,,,,,,0,,,76,,,0,,134,,,,,,,
1205,,"CCSL Holdings, LLC+",Preferred stock,,,,,,,,,0,,,312,,,0,,321,,,,,,,
1206,,CMI Parent Inc.+,Common Stock,,,,,,,,,0,,,240,,,0,,269,,,,,,,
1207,,CMI Parent Inc.+,Warrant,,,,,,,,,3,,,3,,,0,,0,,,,,,,
1208,,"Flexan, LLC+",LLC units,,,,,,,,,0,,,137,,,0,,236,,,,,,,
1209,,"Flexan, LLC+",LLC units,,,,,,,,,1,,,0,,,0,,103,,,,,,,
1210,,"G & H Wire Company, Inc.+",Common Stock,,,,,,,,,335,,,269,,,0,,165,,,,,,,
1211,,"Joerns Healthcare, LLC*+",LLC units,,,,,,,,,432,,,"4,329",,,0.1,,"2,498",,,,,,,
1212,,"Katena Holdings, Inc.+",LLC units,,,,,,,,,0,,,573,,,0,,508,,,,,,,
1213,,"Lombart Brothers, Inc.+",LLC units,,,,,,,,,1,,,440,,,0,,192,,,,,,,
1214,,,,,,,,,,,,,,"6,456",,,0.1,,"4,559",,,,,,,,
1216,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1217,,Health Care Providers & Services,,,,,,,,,,,,,,,,,,,,,,,,,
1218,,"Active Day, Inc.+",LLC interest,,,,,,,,,2,,,,"1,099",,,0,%,,314,,,,,
1219,,"Acuity Eyecare Holdings, LLC+",LLC interest,,,,,,,,,"1,632",,,"2,235",,,0.1,,"3,201",,,,,,,
1220,,"Acuity Eyecare Holdings, LLC+",LLC units,,,,,,,,,889,,,"1,023",,,0.1,,"1,757",,,,,,,
1221,,"ADCS Clinics Intermediate Holdings, LLC+",LLC interest,,,,,,,,,2,,,"1,119",,,0,,"1,118",,,,,,,
1222,,"ADCS Clinics Intermediate Holdings, LLC+",Preferred stock,,,,,,,,,0,,,6,,,0,,0,,,,,,,
1223,,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+,Common Stock,,,,,,,,,104,,,104,,,0,,124,,,,,,,
1224,,"CRH Healthcare Purchaser, Inc.+(17)",LLC units,,,,,,,,,429,,,326,,,0,,"1,139",,,,,,,
1225,,"DCA Investment Holding, LLC",LLC interest,,,,,,,,,"13,890",,,"1,618",,,0.1,,"2,183",,,,,,,
1226,,"DCA Investment Holding, LLC",LLC units,,,,,,,,,140,,,218,,,0,,269,,,,,,,
1227,,Deca Dental Management LLC+,LLC units,,,,,,,,,"1,008",,,"1,278",,,0.1,,"1,806",,,,,,,
1228,,"Emerge Intermediate, Inc.+",Common Stock,,,,,,,,,0,,,648,,,0,,462,,,,,,,
